,Date,Home,Away
345,2012-09-29 00:00:00,0,0
346,2012-09-29 00:00:00,1,-1
347,2012-09-29 00:00:00,1,-1
348,2012-10-06 00:00:00,1,-1
349,2012-10-07 00:00:00,0,0
350,2012-10-06 00:00:00,1,-1
351,2012-10-07 00:00:00,-1,1
352,2012-10-07 00:00:00,0,0
353,2012-10-06 00:00:00,0,0
354,2012-10-07 00:00:00,1,-1
355,2012-10-06 00:00:00,1,-1
356,2012-10-06 00:00:00,-1,1
357,2012-10-06 00:00:00,0,0
358,2012-10-20 00:00:00,1,-1
359,2012-10-20 00:00:00,1,-1
360,2012-10-20 00:00:00,1,-1
361,2012-10-20 00:00:00,1,-1
362,2012-10-21 00:00:00,0,0
363,2012-10-21 00:00:00,0,0
364,2012-10-20 00:00:00,1,-1
365,2012-10-20 00:00:00,-1,1
366,2012-10-20 00:00:00,-1,1
367,2012-10-20 00:00:00,1,-1
368,2012-10-27 00:00:00,1,-1
369,2012-10-27 00:00:00,0,0
370,2012-10-28 00:00:00,-1,1
371,2012-10-28 00:00:00,0,0
372,2012-10-27 00:00:00,1,-1
373,2012-10-28 00:00:00,1,-1
374,2012-10-27 00:00:00,0,0
375,2012-10-28 00:00:00,-1,1
376,2012-10-27 00:00:00,0,0
377,2012-10-27 00:00:00,1,-1
378,2012-08-10 00:00:00,0,0
379,2012-08-11 00:00:00,-1,1
380,2012-08-11 00:00:00,1,-1
381,2012-08-11 00:00:00,-1,1
382,2012-08-11 00:00:00,0,0
383,2012-08-12 00:00:00,-1,1
384,2012-08-11 00:00:00,-1,1
385,2012-08-11 00:00:00,-1,1
386,2012-08-11 00:00:00,-1,1
387,2012-08-11 00:00:00,-1,1
388,2012-10-28 00:00:00,1,-1
389,2012-10-27 00:00:00,1,-1
390,2012-10-28 00:00:00,0,0
391,2012-10-27 00:00:00,1,-1
392,2012-10-27 00:00:00,-1,1
393,2012-10-27 00:00:00,0,0
394,2012-10-26 00:00:00,1,-1
395,2012-11-07 00:00:00,1,-1
396,2012-10-27 00:00:00,1,-1
397,2012-11-28 00:00:00,-1,1
398,2012-11-04 00:00:00,-1,1
399,2012-11-02 00:00:00,1,-1
400,2012-11-03 00:00:00,-1,1
401,2012-11-04 00:00:00,1,-1
402,2012-11-03 00:00:00,1,-1
403,2012-11-03 00:00:00,-1,1
404,2012-11-03 00:00:00,1,-1
405,2012-11-03 00:00:00,0,0
406,2012-11-03 00:00:00,1,-1
407,2012-11-10 00:00:00,-1,1
408,2012-11-10 00:00:00,1,-1
409,2012-11-11 00:00:00,-1,1
410,2012-11-11 00:00:00,0,0
411,2012-11-09 00:00:00,-1,1
412,2012-11-10 00:00:00,-1,1
413,2012-11-10 00:00:00,1,-1
414,2012-11-11 00:00:00,0,0
415,2012-11-10 00:00:00,-1,1
416,2012-11-11 00:00:00,0,0
417,2012-11-17 00:00:00,-1,1
418,2012-11-17 00:00:00,1,-1
419,2012-11-17 00:00:00,0,0
420,2012-11-16 00:00:00,1,-1
421,2012-11-18 00:00:00,1,-1
